Products,Year,Value RM Million
Country-specific tourism characteristic goods,2017,26868
Country-specific tourism characteristic goods,2018,28101.2
Country-specific tourism characteristic goods,2019,28674.2
Country-specific tourism characteristic goods,2020,4473.9
Country-specific tourism characteristic goods,2021,12.1
Country-specific tourism characteristic services,2000,710.8
Country-specific tourism characteristic services,2001,1114.2
Country-specific tourism characteristic services,2002,747.7
Country-specific tourism characteristic services,2003,489.7
Country-specific tourism characteristic services,2004,1008.3
Country-specific tourism characteristic services,2005,990.5
Country-specific tourism characteristic services,2006,471.6
Country-specific tourism characteristic services,2007,921.4
Country-specific tourism characteristic services,2008,941.7
Country-specific tourism characteristic services,2009,1007.5
Country-specific tourism characteristic services,2010,1355.8
Country-specific tourism characteristic services,2011,1399.6
Country-specific tourism characteristic services,2012,1635
Country-specific tourism characteristic services,2013,1897.9
Country-specific tourism characteristic services,2014,2520
Country-specific tourism characteristic services,2015,2573.3
Country-specific tourism characteristic services,2016,2674.4
Country-specific tourism characteristic services,2017,2752.8
Country-specific tourism characteristic services,2018,2737.7
Country-specific tourism characteristic services,2019,2304.8
Country-specific tourism characteristic services,2020,385
Country-specific tourism characteristic services,2021,72.1
