YEAR,TRAVEL ARRANGEMENT,Country,Percentage
2017,INDEPENDENT,NORWAY,91.30434782608695
2016,TOUR PACKAGE,ITALY,10.358565737051793
2016,INDEPENDENT,ITALY,89.64143426294821
2017,TOUR PACKAGE,ITALY,13.513160941002084
2017,INDEPENDENT,ITALY,86.48683905899792
2016,TOUR PACKAGE,SPAIN,7.4074074074074066
2016,INDEPENDENT,SPAIN,92.5925925925926
2017,TOUR PACKAGE,SPAIN,3.4467242973723486
2017,INDEPENDENT,SPAIN,96.55327570262766
2016,TOUR PACKAGE,FRANCE,4.807692307692308
2016,INDEPENDENT,FRANCE,95.1923076923077
2017,TOUR PACKAGE,FRANCE,5.984482656546761
2017,INDEPENDENT,FRANCE,94.01551734345324
2016,TOUR PACKAGE,BELGIUM,13.636363636363638
2016,INDEPENDENT,BELGIUM,86.36363636363636
2017,TOUR PACKAGE,BELGIUM,9.328909439077746
2017,INDEPENDENT,BELGIUM,90.67109056092225
2016,TOUR PACKAGE,NETHERLANDS,5.202312138728323
2016,INDEPENDENT,NETHERLANDS,94.79768786127167
2017,TOUR PACKAGE,NETHERLANDS,6.160323702398218
2017,INDEPENDENT,NETHERLANDS,93.83967629760178
2016,TOUR PACKAGE,GERMANY,1.6853932584269662
2016,INDEPENDENT,GERMANY,98.31460674157303
2017,TOUR PACKAGE,GERMANY,4.801757437622356
2017,INDEPENDENT,GERMANY,95.19824256237763
2016,TOUR PACKAGE,SWITZERLAND,3.056768558951965
2016,INDEPENDENT,SWITZERLAND,96.94323144104803
2017,TOUR PACKAGE,SWITZERLAND,2.646075915142671
2017,INDEPENDENT,SWITZERLAND,97.35392408485733
2016,TOUR PACKAGE,RUSSIA,3.278688524590164
2016,INDEPENDENT,RUSSIA,96.72131147540985
2017,TOUR PACKAGE,RUSSIA,0.0
2017,INDEPENDENT,RUSSIA,100.0
2016,TOUR PACKAGE,AUSTRALIA,1.8701298701298699
2016,INDEPENDENT,AUSTRALIA,98.12987012987013
2017,TOUR PACKAGE,AUSTRALIA,2.8539500115455185
2017,INDEPENDENT,AUSTRALIA,97.14604998845448
2016,TOUR PACKAGE,NEW ZEALAND,2.0202020202020203
2016,INDEPENDENT,NEW ZEALAND,97.97979797979798
2017,TOUR PACKAGE,NEW ZEALAND,1.5727842321061516
2017,INDEPENDENT,NEW ZEALAND,98.42721576789386
2016,TOUR PACKAGE,SOUTH AFRICA,5.47945205479452
2016,INDEPENDENT,SOUTH AFRICA,94.52054794520548
2017,TOUR PACKAGE,SOUTH AFRICA,22.58064516129032
2017,INDEPENDENT,SOUTH AFRICA,77.41935483870967
